Time_s,Current_A,Voltage_V,SoC,OCV_Model_V,R0_True_Ohm
0.0,35.0,3.8579228189893864,1.0,4.2079228189893865,0.01
0.5,35.0,3.8576879808907827,0.9996759259259259,4.207461129038931,0.009993518518518518
1.0,35.0,3.857454396892363,0.9993518518518518,4.207000693188659,0.009987037037037037
1.5,35.0,3.8572220625847793,0.9990277777777777,4.206541507029224,0.009980555555555555
2.0,35.0,3.8569909735669308,0.9987037037037036,4.206083566159523,0.009974074074074073
2.5,35.0,3.8567611254459626,0.9983796296296296,4.205626866186703,0.00996759259259259
3.0,35.0,3.856532513837239,0.9980555555555555,4.205171402726128,0.00996111111111111
3.5,35.0,3.8563051343643844,0.9977314814814814,4.2047171714014215,0.009954629629629628
4.0,35.0,3.8560789826592057,0.9974074074074073,4.204264167844391,0.009948148148148147
4.5,35.0,3.8558540543617528,0.9970833333333332,4.203812387695086,0.009941666666666665
5.0,35.0,3.8556303451202694,0.9967592592592591,4.203361826601751,0.009935185185185182
5.5,35.0,3.855407850591202,0.996435185185185,4.2029124802208315,0.0099287037037037
6.0,35.0,3.855186566439191,0.996111111111111,4.202464344216969,0.00992222222222222
6.5,35.0,3.8549664883370705,0.9957870370370369,4.202017414262996,0.009915740740740737
7.0,35.0,3.854747611965845,0.9954629629629628,4.201571686039919,0.009909259259259255
7.5,35.0,3.8545299330147076,0.9951388888888887,4.20112715523693,0.009902777777777774
8.0,35.0,3.854313447181007,0.9948148148148146,4.200683817551377,0.009896296296296292
8.5,35.0,3.8540981501702607,0.9944907407407405,4.200241668688779,0.00988981481481481
9.0,35.0,3.853884037696125,0.9941666666666664,4.199800704362792,0.009883333333333329
9.5,35.0,3.853671105480432,0.9938425925925923,4.199360920295247,0.009876851851851847
10.0,35.0,3.8534593492531344,0.9935185185185182,4.198922312216097,0.009870370370370364
10.5,35.0,3.8532487647523213,0.9931944444444442,4.198484875863432,0.009863888888888884
11.0,35.0,3.8530393477242106,0.9928703703703701,4.19804860698347,0.009857407407407402
11.5,35.0,3.85283109392315,0.992546296296296,4.197613501330557,0.00985092592592592
12.0,35.0,3.8526239991115925,0.9922222222222219,4.197179554667148,0.009844444444444439
12.5,35.0,3.852418059060099,0.9918981481481478,4.196746762763802,0.009837962962962956
13.0,35.0,3.852213269547333,0.9915740740740737,4.196315121399184,0.009831481481481474
13.5,35.0,3.852009626360058,0.9912499999999996,4.1958846263600575,0.009824999999999993
14.0,35.0,3.8518071252931207,0.9909259259259255,4.195455273441269,0.009818518518518511
14.5,35.0,3.851605762149446,0.9906018518518515,4.195027058445742,0.009812037037037029
15.0,35.0,3.851405532740036,0.9902777777777774,4.19459997718448,0.009805555555555547
15.5,35.0,3.851206432883967,0.9899537037037033,4.194174025476559,0.009799074074074066
16.0,35.0,3.8510084584083697,0.9896296296296292,4.19374919914911,0.009792592592592584
16.5,35.0,3.850811605148421,0.9893055555555551,4.1933254940373095,0.009786111111111103
17.0,35.0,3.8506158689473717,0.988981481481481,4.1929029059844085,0.00977962962962962
17.5,35.0,3.8504212456564892,0.9886574074074069,4.192481430841674,0.009773148148148138
18.0,35.0,3.8502277311350843,0.9883333333333328,4.192061064468417,0.009766666666666656
18.5,35.0,3.8500353212504947,0.9880092592592588,4.191641802731976,0.009760185185185176
19.0,35.0,3.849844011878089,0.9876851851851847,4.191223641507718,0.009753703703703693
19.5,35.0,3.849653798901234,0.9873611111111106,4.1908065766790115,0.009747222222222211
20.0,35.0,3.849464678211314,0.9870370370370365,4.19039060413724,0.00974074074074073
20.5,35.0,3.84927664570772,0.9867129629629624,4.189975719781794,0.009734259259259248
21.0,35.0,3.849089697297821,0.9863888888888883,4.189561919520043,0.009727777777777766
21.5,35.0,3.8489038288969923,0.9860648148148142,4.189149199267362,0.009721296296296285
22.0,35.0,3.8487190364285815,0.9857407407407401,4.1887375549470995,0.009714814814814803
22.5,35.0,3.8485353158239124,0.985416666666666,4.188326982490579,0.00970833333333332
23.0,35.0,3.848352663022274,0.985092592592592,4.187917477837089,0.00970185185185184
23.5,35.0,3.8481710739709247,0.9847685185185179,4.187509036933887,0.009695370370370358
24.0,35.0,3.8479905446250635,0.9844444444444438,4.187101655736174,0.009688888888888875
24.5,35.0,3.847811070947855,0.9841203703703697,4.1866953302071135,0.009682407407407395
25.0,35.0,3.8476326489103982,0.9837962962962956,4.186290056317805,0.009675925925925912
25.5,35.0,3.847455274491728,0.9834722222222215,4.185885830047283,0.00966944444444443
26.0,35.0,3.847278943678793,0.9831481481481474,4.185482647382496,0.00966296296296295
26.5,35.0,3.8471036524664894,0.9828240740740734,4.185080504318341,0.009656481481481467
27.0,35.0,3.8469293968576097,0.9824999999999993,4.184679396857609,0.009649999999999985
27.5,35.0,3.846756172862866,0.9821759259259252,4.184279321011013,0.009643518518518503
28.0,35.0,3.846583976500854,0.9818518518518511,4.18388027279715,0.009637037037037022
28.5,35.0,3.84641280379809,0.981527777777777,4.183482248242534,0.00963055555555554
29.0,35.0,3.8462426507889558,0.9812037037037029,4.183085243381548,0.00962407407407406
29.5,35.0,3.84607351351573,0.9808796296296288,4.18268925425647,0.009617592592592577
30.0,35.0,3.845905388028556,0.9805555555555547,4.182294276917444,0.009611111111111095
30.5,35.0,3.8457382703854535,0.9802314814814806,4.18190030742249,0.009604629629629612
31.0,35.0,3.8455721566523016,0.9799074074074066,4.181507341837486,0.009598148148148132
31.5,35.0,3.845407042902824,0.9795833333333325,4.181115376236157,0.00959166666666665
32.0,35.0,3.8452429252186198,0.9792592592592584,4.180724406700101,0.009585185185185167
32.5,35.0,3.8450797996890955,0.9789351851851843,4.180334429318725,0.009578703703703687
33.0,35.0,3.8449176624115196,0.9786111111111102,4.179945440189297,0.009572222222222204
33.5,35.0,3.844756509490972,0.9782870370370361,4.179557435416897,0.009565740740740722
34.0,35.0,3.8445963370403677,0.977962962962962,4.179170411114441,0.009559259259259241
34.5,35.0,3.8444371411804332,0.977638888888888,4.178784363402655,0.009552777777777759
35.0,35.0,3.844278918039695,0.9773148148148139,4.1783992884100645,0.009546296296296277
35.5,35.0,3.8441216637544864,0.9769907407407398,4.178015182273004,0.009539814814814796
36.0,35.0,3.8439653744689455,0.9766666666666657,4.177632041135611,0.009533333333333314
36.5,35.0,3.8438100463349816,0.9763425925925916,4.177249861149796,0.009526851851851832
37.0,35.0,3.843655675512297,0.9760185185185175,4.176868638475259,0.009520370370370351
37.5,35.0,3.8435022581683684,0.9756944444444434,4.176488369279479,0.009513888888888869
38.0,35.0,3.8433497904784435,0.9753703703703693,4.176109049737702,0.009507407407407386
38.5,35.0,3.843198268625524,0.9750462962962952,4.175730676032931,0.009500925925925906
39.0,35.0,3.843047688800366,0.9747222222222212,4.175353244355921,0.009494444444444423
39.5,35.0,3.8428980472014884,0.9743981481481471,4.174976750905191,0.009487962962962941
40.0,35.0,3.8427493400351413,0.974074074074073,4.1746011918869925,0.009481481481481459
40.5,35.0,3.8426015635153123,0.9737499999999989,4.174226563515312,0.009474999999999978
41.0,35.0,3.8424547138637095,0.9734259259259248,4.173852862011857,0.009468518518518496
41.5,35.0,3.8423087873097854,0.9731018518518507,4.173480083606081,0.009462037037037015
42.0,35.0,3.842163780090682,0.9727777777777766,4.173108224535126,0.009455555555555533
42.5,35.0,3.8420196884512663,0.9724537037037025,4.172737281043858,0.00944907407407405
43.0,35.0,3.8418765086440985,0.9721296296296285,4.1723672493848385,0.009442592592592568
43.5,35.0,3.841734236929442,0.9718055555555544,4.17199812581833,0.009436111111111088
44.0,35.0,3.841592869575242,0.9714814814814803,4.171629906612278,0.009429629629629606
44.5,35.0,3.8414524028571333,0.9711574074074062,4.1712625880423175,0.009423148148148123
45.0,35.0,3.841312833058423,0.9708333333333321,4.170896166391755,0.009416666666666643
45.5,35.0,3.8411741564700796,0.970509259259258,4.17053063795156,0.00941018518518516
46.0,35.0,3.841036369390745,0.9701851851851839,4.170165999020374,0.009403703703703678
46.5,35.0,3.840899468126708,0.9698611111111098,4.169802245904485,0.009397222222222197
47.0,35.0,3.840763448991912,0.9695370370370358,4.169439374917837,0.009390740740740715
47.5,35.0,3.840628308307947,0.9692129629629617,4.16907738238202,0.009384259259259233
48.0,35.0,3.8404940424040195,0.9688888888888876,4.168716264626241,0.009377777777777752
48.5,35.0,3.8403606476169854,0.9685648148148135,4.168356017987355,0.00937129629629627
49.0,35.0,3.840228120291319,0.9682407407407394,4.167996638809837,0.009364814814814788
49.5,35.0,3.840096456779103,0.9679166666666653,4.1676381234457684,0.009358333333333305
50.0,35.0,3.839965653440028,0.9675925925925912,4.167280468254842,0.009351851851851825
50.5,35.0,3.8398357066413964,0.9672685185185171,4.166923669604358,0.009345370370370342
51.0,35.0,3.8397066127581003,0.966944444444443,4.1665677238692105,0.009338888888888862
51.5,35.0,3.8395783681726203,0.966620370370369,4.166212627431879,0.00933240740740738
52.0,35.0,3.839450969275022,0.9662962962962949,4.165858376682428,0.009325925925925897
52.5,35.0,3.8393244124629433,0.9659722222222208,4.165504968018498,0.009319444444444415
53.0,35.0,3.8391986941415945,0.9656481481481467,4.165152397845297,0.009312962962962934
53.5,35.0,3.839073810723752,0.9653240740740726,4.164800662575603,0.009306481481481452
54.0,35.0,3.838949758629732,0.9649999999999985,4.164449758629731,0.00929999999999997
54.5,35.0,3.838826534287417,0.9646759259259244,4.164099682435564,0.00929351851851849
55.0,35.0,3.8387041341322305,0.9643518518518504,4.163750430428526,0.009287037037037007
55.5,35.0,3.838582554607123,0.9640277777777763,4.163401999051566,0.009280555555555525
56.0,35.0,3.8384617921625757,0.9637037037037022,4.163054384755167,0.009274074074074044
56.5,35.0,3.8383418432565963,0.9633796296296281,4.162707583997336,0.009267592592592562
57.0,35.0,3.8382227043547075,0.963055555555554,4.162361593243595,0.00926111111111108
57.5,35.0,3.838104371929941,0.9627314814814799,4.162016408966977,0.009254629629629599
58.0,35.0,3.837986842462831,0.9624074074074058,4.161672027648015,0.009248148148148116
58.5,35.0,3.837870112441405,0.9620833333333317,4.161328445774737,0.009241666666666634
59.0,35.0,3.837754178361183,0.9617592592592576,4.160985659842663,0.009235185185185154
59.5,35.0,3.8376390367251663,0.9614351851851836,4.160643666354795,0.009228703703703671
