Time_s,Current_A,Voltage_V,SoC,OCV_V,True_R0_Ohm
0.0,35.0,3.6750000000000003,1.0,4.2,0.015
1.0,35.0,3.674346580537783,0.9993518518518518,4.199431704985616,0.015002432127080955
2.0,35.0,3.6737133174670715,0.9987037037037036,4.198865358352245,0.01500434402529068
3.0,35.0,3.6731000233106985,0.9980555555555555,4.198300934511394,0.015005740320019875
4.0,35.0,3.6725065105914947,0.9974074074074073,4.197738407874567,0.015006625636659214
5.0,35.0,3.6719325918322934,0.9967592592592591,4.197177752853272,0.015007004600599394
6.0,35.0,3.6713780795559257,0.996111111111111,4.196618943859014,0.0150068818372311
7.0,35.0,3.6708427862852258,0.9954629629629628,4.196061955303302,0.015006261971945028
8.0,35.0,3.6703265245430243,0.9948148148148146,4.195506761597639,0.015005149630131854
9.0,35.0,3.6698291068521547,0.9941666666666664,4.194953337153534,0.015003549437182281
10.0,35.0,3.669350345735449,0.9935185185185182,4.194401656382493,0.015001466018486986
11.0,35.0,3.6688900537157387,0.9928703703703701,4.193851693696022,0.014998903999436668
12.0,35.0,3.6684480433158573,0.9922222222222219,4.193303423505627,0.014995868005422006
13.0,35.0,3.6680241270586365,0.9915740740740737,4.192756820222816,0.014992362661833701
14.0,35.0,3.6676181174669074,0.9909259259259255,4.192211858259093,0.014988392594062427
15.0,35.0,3.6672298270635046,0.9902777777777774,4.191668512025966,0.014983962427498882
16.0,35.0,3.6668590683712603,0.9896296296296292,4.191126755934942,0.014979076787533754
17.0,35.0,3.666505653913004,0.988981481481481,4.190586564397525,0.014973740299557734
18.0,35.0,3.6661693962115707,0.9883333333333328,4.190047911825223,0.014967957588961502
19.0,35.0,3.665850107789792,0.9876851851851847,4.189510772629544,0.01496173328113576
20.0,35.0,3.6655476011704993,0.9870370370370365,4.188975121221991,0.014955072001471184
21.0,35.0,3.6652616888765266,0.9863888888888883,4.188440932014073,0.01494797837535847
22.0,35.0,3.6649921834307038,0.9857407407407401,4.1879081794172945,0.014940457028188307
23.0,35.0,3.664738897355866,0.985092592592592,4.187376837843164,0.014932512585351377
24.0,35.0,3.6645016431748427,0.9844444444444438,4.186846881703186,0.014924149672238374
25.0,35.0,3.6642802334104685,0.9837962962962956,4.186318285408868,0.014915372914239992
26.0,35.0,3.6640744805855734,0.9831481481481474,4.185791023371715,0.014906186936746906
27.0,35.0,3.6638841972229934,0.9824999999999993,4.185265070003237,0.014896596365149822
28.0,35.0,3.6637091958455565,0.9818518518518511,4.184740399714936,0.014886605824839416
29.0,35.0,3.663549288976097,0.9812037037037029,4.184216986918321,0.01487621994120638
30.0,35.0,3.663404289137448,0.9805555555555547,4.1836948060248975,0.014865443339641404
31.0,35.0,3.6632740088524414,0.9799074074074066,4.183173831446172,0.014854280645535177
32.0,35.0,3.6631582606439075,0.9792592592592584,4.182654037593651,0.014842736484278385
33.0,35.0,3.6630568570346815,0.9786111111111102,4.182135398878842,0.014830815481261724
34.0,35.0,3.662969610547594,0.977962962962962,4.18161788971325,0.014818522261875872
